date,precip,NZTMX,NZTMY
2015-06-18,96.5,1507022.0,5266024.0
2015-06-19,166.0,1507022.0,5266024.0
2015-06-18,63.0,1506391.0,5253154.0
2015-06-19,73.0,1506391.0,5253154.0
2015-06-18,88.5,1482760.0,5244669.0
2015-06-19,160.0,1482760.0,5244669.0
2015-06-18,45.0,1515946.0,5249806.0
2015-06-19,55.5,1515946.0,5249806.0
2015-06-18,59.5,1571497.0,5325514.0
2015-06-19,42.0,1571497.0,5325514.0
2015-06-18,24.0,1559748.0,5284621.0
2015-06-19,68.0,1559748.0,5284621.0
2015-06-18,15.0,1562429.0,5262273.0
2015-06-19,41.0,1562429.0,5262273.0
2015-06-18,12.0,1581327.0,5279063.0
2015-06-19,37.5,1581327.0,5279063.0
2015-06-18,1.5,1674522.0,5337964.0
2015-06-19,8.5,1674522.0,5337964.0
2015-06-18,9.0,1658820.0,5321765.0
2015-06-19,14.5,1658820.0,5321765.0
2015-06-18,3.5,1634867.0,5312034.0
2015-06-19,11.0,1634867.0,5312034.0
2015-06-18,3.0,1647311.0,5317009.0
2015-06-19,15.0,1647311.0,5317009.0
2015-06-18,12.0,1651243.0,5312787.0
2015-06-19,5.5,1651243.0,5312787.0
2015-06-18,3.0,1618591.0,5302239.0
2015-06-19,17.0,1618591.0,5302239.0
2015-06-18,5.5,1645295.0,5300212.0
2015-06-19,5.5,1645295.0,5300212.0
2015-06-18,17.3,1615041.0,5295872.0
2015-06-19,12.7,1615041.0,5295872.0
2015-06-18,17.0,1608602.0,5262188.0
2015-06-19,10.0,1608602.0,5262188.0
2015-06-18,12.0,1607705.0,5250954.0
2015-06-19,12.5,1607705.0,5250954.0
2015-06-18,88.0,1413398.0,5186670.0
2015-06-19,84.5,1413398.0,5186670.0
2015-06-18,49.0,1426619.0,5179518.0
2015-06-19,70.5,1426619.0,5179518.0
2015-06-18,39.0,1407840.0,5160637.0
2015-06-19,38.5,1407840.0,5160637.0
2015-06-18,85.5,1366285.0,5153316.0
2015-06-19,31.0,1366285.0,5153316.0
2015-06-18,5.8,1418364.0,5135227.0
2015-06-19,14.2,1418364.0,5135227.0
2015-06-18,9.5,1427225.0,5140299.0
2015-06-19,0.0,1427225.0,5140299.0
2015-06-18,128.5,1473464.0,5242142.0
2015-06-19,173.0,1473464.0,5242142.0
2015-06-18,33.0,1499654.0,5232199.0
2015-06-19,49.5,1499654.0,5232199.0
2015-06-18,49.5,1515640.0,5225591.0
2015-06-19,41.5,1515640.0,5225591.0
2015-06-18,17.0,1501945.0,5195218.0
2015-06-19,63.0,1501945.0,5195218.0
2015-06-18,17.5,1473413.0,5183006.0
2015-06-19,54.5,1473413.0,5183006.0
2015-06-18,14.5,1467334.0,5198315.0
2015-06-19,40.0,1467334.0,5198315.0
2015-06-18,21.5,1498361.0,5188970.0
2015-06-19,41.5,1498361.0,5188970.0
2015-06-18,17.5,1443437.0,5179382.0
2015-06-19,29.0,1443437.0,5179382.0
2015-06-18,5.5,1481641.0,5178550.0
2015-06-19,27.0,1481641.0,5178550.0
2015-06-18,31.0,1510512.0,5187224.0
2015-06-19,31.5,1510512.0,5187224.0
2015-06-18,8.0,1463613.0,5169813.0
2015-06-19,32.0,1463613.0,5169813.0
2015-06-18,20.0,1456745.0,5153185.0
2015-06-19,41.5,1456745.0,5153185.0
2015-06-18,32.0,1458077.0,5137426.0
2015-06-19,22.5,1458077.0,5137426.0
2015-06-18,51.0,1522871.0,5239373.0
2015-06-19,50.0,1522871.0,5239373.0
2015-06-18,15.5,1533272.0,5228594.0
2015-06-19,54.5,1533272.0,5228594.0
2015-06-18,16.5,1546497.0,5232921.0
2015-06-19,42.5,1546497.0,5232921.0
2015-06-18,30.0,1568585.0,5231998.0
2015-06-19,23.5,1568585.0,5231998.0
2015-06-18,35.5,1493687.0,5218349.0
2015-06-19,70.0,1493687.0,5218349.0
2015-06-18,34.0,1524807.0,5217689.0
2015-06-19,31.5,1524807.0,5217689.0
2015-06-18,43.5,1536427.0,5213359.0
2015-06-19,25.5,1536427.0,5213359.0
2015-06-18,22.5,1550282.0,5223227.0
2015-06-19,29.5,1550282.0,5223227.0
2015-06-18,25.5,1555050.0,5212823.0
2015-06-19,26.5,1555050.0,5212823.0
2015-06-18,18.5,1576657.0,5207858.0
2015-06-19,9.0,1576657.0,5207858.0
2015-06-18,16.0,1568614.0,5198864.0
2015-06-19,10.0,1568614.0,5198864.0
2015-06-18,31.5,1539628.0,5190695.0
2015-06-19,49.0,1539628.0,5190695.0
2015-06-18,13.0,1571991.0,5192868.0
2015-06-19,9.5,1571991.0,5192868.0
2015-06-18,13.4,1569200.0,5180288.0
2015-06-19,17.8,1569200.0,5180288.0
2015-06-18,36.0,1527199.0,5171237.0
2015-06-19,22.5,1527199.0,5171237.0
2015-06-18,16.2,1557245.0,5169601.0
2015-06-19,17.6,1557245.0,5169601.0
2015-06-18,15.0,1563103.0,5165593.0
2015-06-19,23.0,1563103.0,5165593.0
2015-06-18,6.5,1569400.0,5166693.0
2015-06-19,28.0,1569400.0,5166693.0
2015-06-18,16.5,1550110.0,5144799.0
2015-06-19,7.5,1550110.0,5144799.0
2015-06-18,18.0,1574399.0,5155098.0
2015-06-19,10.0,1574399.0,5155098.0
2015-06-18,5.6,1609583.0,5156300.0
2015-06-19,9.2,1609583.0,5156300.0
2015-06-18,8.0,1417662.0,5120611.0
2015-06-19,0.0,1417662.0,5120611.0
2015-06-18,15.0,1435543.0,5107472.0
2015-06-19,26.5,1435543.0,5107472.0
2015-06-18,7.0,1413980.0,5104862.0
2015-06-19,9.0,1413980.0,5104862.0
2015-06-18,8.0,1411619.0,5085931.0
2015-06-19,16.5,1411619.0,5085931.0
2015-06-18,8.0,1420226.0,5087426.0
2015-06-19,32.0,1420226.0,5087426.0
2015-06-18,17.0,1431313.0,5077539.0
2015-06-19,27.5,1431313.0,5077539.0
2015-06-18,10.0,1414819.0,5063520.0
2015-06-19,15.0,1414819.0,5063520.0
2015-06-18,5.5,1422343.0,5065062.0
2015-06-19,14.0,1422343.0,5065062.0
2015-06-18,36.5,1437006.0,5066885.0
2015-06-19,17.0,1437006.0,5066885.0
2015-06-18,17.5,1424264.0,5048117.0
2015-06-19,18.0,1424264.0,5048117.0
2015-06-18,8.0,1391491.0,5039185.0
2015-06-19,13.0,1391491.0,5039185.0
2015-06-18,3.5,1392520.0,5017606.0
2015-06-19,8.0,1392520.0,5017606.0
2015-06-18,3.5,1440783.0,5119590.0
2015-06-19,14.5,1440783.0,5119590.0
2015-06-18,25.5,1452457.0,5122304.0
2015-06-19,30.0,1452457.0,5122304.0
2015-06-18,28.5,1446447.0,5111263.0
2015-06-19,26.0,1446447.0,5111263.0
2015-06-18,39.5,1448180.0,5086434.0
2015-06-19,14.0,1448180.0,5086434.0
2015-06-18,27.0,1453924.0,5045811.0
2015-06-19,6.5,1453924.0,5045811.0
2015-06-18,32.0,1444494.0,5034441.0
2015-06-19,6.0,1444494.0,5034441.0
2015-06-18,7.5,1452821.0,5135228.0
2015-06-19,13.5,1452821.0,5135228.0
2015-06-18,48.5,1328668.0,5092267.0
2015-06-19,2.5,1328668.0,5092267.0
2015-06-18,25.0,1350308.0,5058028.0
2015-06-19,20.0,1350308.0,5058028.0
